Date,Symbol,Company,Event Type,Impact,Priority,Summary,Source
2026-07-03,KRISHANA,Krishana Phoschem Limited,Stock Split,Neutral,Medium,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,NSE_CA
2026-07-02,KAYNES,Kaynes Technology India Limited,Management Change,Neutral,Medium,Outcome of Board Meeting Outcome of the Board meeting - Appointment of Internal Auditor for the FY 2026-27.,NSE_ANN
2026-07-03,WELENT,Welspun Enterprises Limited,Dividend,Neutral,Low,Dividend - Rs 3 Per Share,NSE_CA
2026-07-03,MARKSANS,Marksans Pharma Limited,Dividend,Neutral,Low,General Updates Marksans Pharma Limited has informed the Exchange about General Updates regarding Record Date 20 August 2026 for payment of dividend.,NSE_ANN
2026-07-03,UNIONBANK,Union Bank of India,Dividend,Neutral,Low,Dividend - Rs 5 Per Share,NSE_CA
2026-07-03,BHARATFORG,Bharat Forge Limited,Dividend,Neutral,Low,Dividend - Rs 6.50 Per Share,NSE_CA
2026-07-03,EXIDEIND,Exide Industries Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-03,M&M,Mahindra & Mahindra Limited,Dividend,Neutral,Low,Dividend - Rs 33 Per Share,NSE_CA
2026-07-03,THERMAX,Thermax Limited,Dividend,Neutral,Low,Dividend - Rs 14 Per Share/Special Dividend - Rs 6 Per Share,NSE_CA
2026-07-03,SKFINDIA,SKF India Limited,Dividend,Neutral,Low,Dividend - Rs 40 Per Share,NSE_CA
2026-07-03,BIOCON,Biocon Limited,Dividend,Neutral,Low,Dividend - Re 0.50 Per Share,NSE_CA
2026-07-03,MAHLIFE,Mahindra Lifespace Developers Limited,Dividend,Neutral,Low,Dividend - Rs 3.50 Per Share,NSE_CA
2026-07-03,SWARAJENG,Swaraj Engines Limited,Dividend,Neutral,Low,Dividend - Rs 110 Per Share,NSE_CA
2026-07-03,ONWARDTEC,Onward Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-03,BALAMINES,Balaji Amines Limited,Dividend,Neutral,Low,Dividend - Rs 11 Per Share,NSE_CA
2026-07-03,TECHM,Tech Mahindra Limited,Dividend,Neutral,Low,Dividend - Rs 36 Per Share,NSE_CA
2026-07-03,REDINGTON,Redington Limited,Dividend,Neutral,Low,Dividend - Rs 6 Per Share,NSE_CA
2026-07-03,BFINVEST,BF Investment Limited,Dividend,Neutral,Low,Dividend - Rs 10 Per Share,NSE_CA
2026-07-03,DALMIASUG,Dalmia Bharat Sugar and Industries Limited,Dividend,Neutral,Low,Dividend - Rs 1.50 Per Share,NSE_CA
2026-07-03,CANFINHOME,Can Fin Homes Limited,Dividend,Neutral,Low,Dividend - Rs 8 Per Share,NSE_CA
2026-07-02,CHEMBOND,Chembond Material Technologies Limited,Dividend,Neutral,Low,Dividend - Rs 2 Per Share,NSE_CA
2026-07-02,LLOYDSENT,Lloyds Enterprises Limited,Dividend,Neutral,Low,Dividend - Re 0.05 Per Share,NSE_CA
2026-07-02,INDIACEM,The India Cements Limited,Dividend,Neutral,Low,Updates The India Cements Limited has informed the Exchange regarding 'Letter To Shareholder - Transfer Of Dividend And Corresponding Shares To The Investor Education And Protection Fund'.,NSE_ANN
